city,date,demand_mean,demand_min,demand_max,demand_sum,demand_std,temperature_mean,temperature_min,temperature_max,temperature_std,humidity_mean,humidity_min,humidity_max,windSpeed_mean,windSpeed_max
dallas,2018-01-01,19425.114999999998,18599.94,20250.29,38850.229999999996,1166.9736763312214,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-02,18041.58,18041.58,18041.58,18041.58,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-03,17102.15,17102.15,17102.15,17102.15,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-04,16668.21,16668.21,16668.21,16668.21,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-05,13114.82,12931.96,13297.68,26229.64,258.603092015545,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-08,11648.03,9843.69,13206.11,34944.090000000004,1694.682877354934,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-10,13799.05,13158.39,14439.71,27598.1,906.0300608699469,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-11,12640.51,12639.1,12641.92,25281.02,1.9940411229458583,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-13,15056.64,15056.64,15056.64,15056.64,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-16,16553.13,16553.13,16553.13,16553.13,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-17,20941.03,20941.03,20941.03,20941.03,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-18,21739.67,20766.37,22712.97,43479.34,1376.4540602577363,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-19,14834.49,14834.49,14834.49,14834.49,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-20,11265.12,10496.62,12033.62,22530.24,1086.8231226837236,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-22,11723.89,11723.89,11723.89,11723.89,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-23,11739.41,11739.41,11739.41,11739.41,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-24,14052.476666666667,12155.45,17711.07,42157.43,3169.1586007855985,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-25,12240.996666666668,11646.94,12742.86,36722.990000000005,553.7462141029353,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-28,11989.78,11989.78,11989.78,11989.78,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-01-30,12436.19,12436.19,12436.19,12436.19,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
