city,year,week,demand_mean,demand_min,demand_max,demand_sum,demand_std,temperature_mean,temperature_min,temperature_max,temperature_std,humidity_mean,windSpeed_mean
dallas,2018,1,16026.92125,11323.56,20250.29,128215.37,3144.8969340070257,65.595,41.27,69.07,9.828784258493005,73.625,6.775
dallas,2018,2,12859.98125,9843.69,15056.64,102879.85,1588.19831487882,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,3,16905.461428571427,10496.62,22712.97,118338.23,4728.296591692857,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,4,12703.722222222223,11646.94,17711.07,114333.5,1910.4922608111876,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,5,12865.159999999998,10593.24,15566.05,38595.479999999996,2514.005025790521,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,6,14945.457142857142,10450.49,17713.17,104618.2,2521.1482867251466,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,7,12936.006666666668,9795.44,17542.75,77616.04000000001,2974.087467729667,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,8,12663.963,9154.1,17542.12,126639.63,2591.165389091042,69.07,69.07,69.07,0.0,71.0,6.779999999999999
dallas,2018,9,11145.722727272727,10220.81,13060.73,122602.95,732.6485810549409,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,10,12048.825,10733.06,13789.64,48195.3,1420.745490449762,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,11,11075.5025,10588.89,11529.65,44302.01,459.5466276940785,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,12,10782.456666666667,8432.5,13458.14,97042.11,1806.0206889042,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,13,10194.4075,7850.25,12047.73,81555.26,1605.5183410773336,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,14,10675.271666666666,8775.23,14412.51,64051.63,2273.5073427936554,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,15,10127.8325,8264.55,14279.75,81022.66,1914.3605386861093,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,16,11578.595000000001,10858.31,12494.62,69471.57,548.0896514531181,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,17,10941.105000000001,9344.04,13910.83,65646.63,1736.362277161653,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,18,12530.621111111112,8296.15,15844.65,112775.59,2439.1482917477792,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,19,13074.5975,9995.48,17248.23,104596.78,2835.4238209569303,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,20,16679.21,11056.12,19977.6,100075.26,3132.64475094767,69.07,69.07,69.07,0.0,71.0,6.78
dallas,2018,21,16252.435,9270.59,20636.1,97514.61,4890.065753246064,69.07,69.07,69.07,0.0,71.0,6.78
